"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-05-11 ~ 2025-05-10"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"95","서울특별시 중랑구 망우동","1**","다가구","8m미만","152.46","106.80","202504","15","68,000","개인","개인","2011","망우로72가길","-","중개거래","서울 중랑구"
"96","서울특별시 성북구 삼선동5가","1**","다가구","8m미만","109.49","65.40","202504","15","55,000","개인","개인","1995","보문로29길","-","중개거래","서울 성북구"
"97","서울특별시 성동구 금호동4가","1***","단독","8m미만","180.44","135.90","202504","15","328,800","기타","개인","1992","동호로4길","-","직거래","-"
"98","서울특별시 광진구 중곡동","1**","단독","12m미만","467.59","190.70","202504","15","386,000","법인","개인","1986","능동로38길","-","중개거래","서울 강남구"
"99","서울특별시 관악구 신림동","6**","단독","8m미만","174.66","132.00","202504","15","40,000","개인","개인","1990","난곡로24가길","-","직거래","-"
"100","서울특별시 은평구 역촌동","*","단독","8m미만","168.30","118.00","202504","14","56,800","법인","개인","1991","연서로16길","-","직거래","-"
"101","서울특별시 성동구 금호동3가","1**","단독","8m미만","163.17","136.90","202504","14","95,000","개인","개인","1970","무수막1길","-","직거래","-"
"102","서울특별시 강서구 방화동","6**","단독","8m미만","83.96","165.00","202504","14","111,029","법인","개인","1977","방화동로10길","-","직거래","-"
"103","서울특별시 영등포구 당산동1가","1**","단독","12m미만","96.76","54.00","202504","14","80,000","개인","개인","1991","영등포로27길","-","중개거래","서울 영등포구"
"104","서울특별시 강북구 수유동","5**","단독","12m미만","156.96","142.00","202504","14","59,500","개인","개인","1987","인수봉로55길","-","중개거래","서울 강북구"
"105","서울특별시 은평구 불광동","2**","단독","8m미만","56.03","104.00","202504","13","80,700","개인","개인","1967","통일로68길","-","중개거래","서울 은평구"
"106","서울특별시 동대문구 장안동","1**","다가구","8m미만","152.88","95.05","202504","13","56,000","개인","개인","1993","한천로14길","-","중개거래","서울 동대문구"
"107","서울특별시 동대문구 장안동","1**","다가구","8m미만","152.88","95.05","202504","13","56,000","개인","개인","1993","한천로14길","20250506","중개거래","서울 동대문구"
"108","서울특별시 성북구 삼선동2가","6*","다가구","8m미만","173.19","89.00","202504","13","65,000","개인","개인","1996","삼선교로14길","-","중개거래","서울 강남구"
"109","서울특별시 영등포구 대림동","1***","단독","8m미만","190.20","132.00","202504","13","66,000","개인","개인","1988","도림로36길","-","중개거래","서울 영등포구"
"110","서울특별시 서초구 방배동","4**","다가구","12m미만","434.07","167.00","202504","13","494,000","법인","개인","2021","청두곶길","-","중개거래","서울 서초구"
"111","서울특별시 성동구 용답동","4*","단독","25m미만","195.36","170.90","202504","13","248,000","개인","개인","1974","용답25다길","-","중개거래","서울 서대문구, 서울 성동구"
"112","서울특별시 중구 쌍림동","1**","단독","8m미만","33.06","52.90","202504","12","59,000","개인","개인","1900","장충단로7길","-","중개거래","서울 중구"
"113","서울특별시 중구 신당동","3**","단독","8m미만","137.82","102.00","202504","12","140,000","개인","개인","1983","청구로3다길","-","중개거래","서울 중구"
"114","서울특별시 강서구 공항동","1*","다가구","8m미만","210.48","142.00","202504","12","73,000","개인","개인","1996","공항대로7가길","-","중개거래","서울 강서구"
"115","서울특별시 광진구 자양동","6**","다가구","8m미만","301.74","167.00","202504","12","180,750","법인","개인","1989","자양로11길","-","중개거래","서울 광진구"
"116","서울특별시 중구 신당동","3**","단독","8m미만","218.45","215.00","202504","12","225,300","법인","개인","1966","다산로29길","-","중개거래","서울 중구"
"117","서울특별시 동작구 사당동","1**","다가구","8m미만","248.46","159.00","202504","12","223,155","기타","개인","1995","사당로29길","-","직거래","-"
"118","서울특별시 동대문구 이문동","3**","단독","8m미만","114.57","79.00","202504","12","59,300","개인","개인","1990","휘경로2가길","-","중개거래","서울 동대문구"
"119","서울특별시 관악구 봉천동","*","단독","8m미만","59.64","106.00","202504","12","90,000","개인","개인","1972","청림5나길","-","중개거래","서울 관악구"
"120","서울특별시 성동구 성수동2가","3**","단독","8m미만","109.16","93.00","202504","12","230,000","개인","개인","1975","성덕정13길","-","중개거래","서울 성동구"
"121","서울특별시 동작구 노량진동","2**","단독","8m미만","188.94","126.00","202504","12","225,000","개인","개인","1987","노량진로6길","-","중개거래","서울 동작구"
